~$6,,~$8,,~$36,,
,,,,$36.0,8378490,
,,,,$36.0,7676630,
,,,,$36.0,8317580,
,,,,$36.0,7995486,
,,,,$36.0,8384382,
,,,,$36.0,8384378,
,,,,$36.0,8384374,
,,,,$36.0,8384377,
,,,,$36.0,8384381,
,,,,$36.0,8384378,
,,,,$36.0,8384348,
,,,,$36.0,8384348,
,,,,$36.0,8384380,
,,,,$36.0,8384381,
,,,,$36.0,8384377,
,,,,$36.0,8384382,
,,,,$36.0,8384378,
,,,,$36.0,8384382,
,,,,$36.0,7695108,
,,,,$36.0,7995507,
,,,,$36.0,7761177,
,,,,$36.0,8154790,
,,,,$36.0,8384374,
,,,,$36.0,8154790,
,,,,$36.0,8384381,
,,,,$36.0,8384380,
,,,,$36.0,8384377,
,,,,$36.0,8386806,
,,,,$36.0,7666517,
,,,,$36.0,7679432,
,,,,$36.0,7679432,
,,,,$36.0,7693030,
,,,,$36.0,7658649,
,,,,$36.0,7652832,
,,,,$36.0,7651415,
,,,,$36.0,7726217,
,,,,$36.0,7674672,
,,,,$36.0,7719157,
,,,,$36.0,7675244,
,,,,$36.0,7675244,
,,,,$36.0,7675589,
,,,,$36.0,7675589,
,,,,$36.0,7652832,
,,,,$36.0,7652832,
,,,,$36.0,7729251,
,,,,$36.0,7708515,
,,,,$36.0,7654627,
,,,,$36.0,7691287,
,,,,$36.0,7691287,
,,,,$36.0,7691287,
,,,,$36.0,7691287,
,,,,$36.0,7730670,
,,,,$36.0,7730670,
,,,,$36.0,7268684,
,,,,$36.0,7733671,
,,,,$36.0,7733672,
,,,,$36.0,7735091,
,,,,$36.0,7740442,
,,,,$36.0,7759451,
,,,,$36.0,7767129,
,,,,$36.0,7797089,
,,,,$36.0,7797089,
,,,,$36.0,7807906,
,,,,$36.0,7808359,
,,,,$36.0,7850356,
,,,,$36.0,7691287,
,,,,$36.0,7404741,
,,,,$36.0,7850226,
,,,,$36.0,7855806,
,,,,$36.0,7855809,
,,,,$36.0,7862959,
,,,,$36.0,7719271,
,,,,$36.0,7888501,
,,,,$36.0,7888748,
,,,,$36.0,7902289,
,,,,$36.0,7902289,
,,,,$36.0,7902289,
,,,,$36.0,7902289,
,,,,$36.0,7907758,
,,,,$36.0,7907731,
,,,,$36.0,7907731,
,,,,$36.0,7907758,
,,,,$36.0,7907731,
,,,,$36.0,7924806,
,,,,$36.0,7924751,
,,,,$36.0,7923780,
,,,,$36.0,7929773,
,,,,$36.0,7929785,
,,,,$36.0,7929784,
,,,,$36.0,7929782,
,,,,$36.0,7929783,
,,,,$36.0,7929786,
,,,,$36.0,7929096,
,,,,$36.0,7929096,
,,,,$36.0,7929779,
,,,,$36.0,7934253,
,,,,$36.0,7929781,
,,,,$36.0,7933410,
,,,,$36.0,7933410,
,,,,$36.0,7934231,
,,,,$36.0,7934262,
,,,,$36.0,7934261,
,,,,$36.0,7934194,
,,,,$36.0,7933410,
,,,,$36.0,7934194,
,,,,$36.0,7934269,
,,,,$36.0,7937064,
,,,,$36.0,7937064,
,,,,$36.0,7946724,
,,,,$36.0,7947131,
,,,,$36.0,7947131,
,,,,$36.0,7961016,
,,,,$36.0,7971238,
,,,,$36.0,7971238,
,,,,$36.0,7675462,
,,,,$36.0,7988065,
,,,,$36.0,7808359,
,,,,$36.0,7992376,
,,,,$36.0,8015516,
,,,,$36.0,7992376,
,,,,$36.0,7998988,
,,,,$36.0,8007817,
,,,,$36.0,8008448,
,,,,$36.0,7387931,
,,,,$36.0,8021294,
,,,,$36.0,8021278,
,,,,$36.0,8044721,
,,,,$36.0,8044721,
,,,,$36.0,8024177,
,,,,$36.0,8024174,
,,,,$36.0,8024177,
,,,,$36.0,8024177,
,,,,$36.0,8024174,
,,,,$36.0,8024174,
,,,,$36.0,8027103,
,,,,$36.0,8027103,
,,,,$36.0,8044721,
,,,,$36.0,8030682,
,,,,$36.0,8034086,
,,,,$36.0,8034086,
,,,,$36.0,8034086,
,,,,$36.0,8034086,
,,,,$36.0,8046474,
,,,,$36.0,7990805,
,,,,$36.0,8048059,
,,,,$36.0,8048136,
,,,,$36.0,8048137,
,,,,$36.0,8048136,
,,,,$36.0,8048136,
,,,,$36.0,8048136,
,,,,$36.0,8053676,
,,,,$36.0,8053676,
,,,,$36.0,8055596,
,,,,$36.0,8055596,
,,,,$36.0,8057728,
,,,,$36.0,8065876,
,,,,$36.0,8065830,
,,,,$36.0,8065876,
,,,,$36.0,8066125,
,,,,$36.0,8065836,
,,,,$36.0,8065877,
,,,,$36.0,8065996,
,,,,$36.0,8084634,
,,,,$36.0,8066034,
,,,,$36.0,8065996,
,,,,$36.0,8066034,
,,,,$36.0,8065877,
,,,,$36.0,8069542,
,,,,$36.0,8065830,
,,,,$36.0,8123860,
,,,,$36.0,8123860,
,,,,$36.0,8123860,
,,,,$36.0,8123860,
,,,,$36.0,8123860,
,,,,$36.0,8124030,
,,,,$36.0,8124030,
,,,,$36.0,7869094,
,,,,$36.0,8115973,
,,,,$36.0,8115973,
,,,,$36.0,8115973,
,,,,$36.0,8109829,
,,,,$36.0,8107696,
,,,,$36.0,8090211,
,,,,$36.0,8090211,
,,,,$36.0,8090211,
,,,,$36.0,8090211,
,,,,$36.0,8090206,
,,,,$36.0,8090211,
,,,,$36.0,8090211,
,,,,$36.0,8090211,
,,,,$36.0,8090211,
,,,,$36.0,8090206,
,,,,$36.0,8090211,
,,,,$36.0,8090211,
,,,,$36.0,8130192,
,,,,$36.0,8108642,
,,,,$36.0,8108642,
,,,,$36.0,8108642,
,,,,$36.0,8108642,
,,,,$36.0,8108640,
,,,,$36.0,8108640,
,,,,$36.0,8108640,
,,,,$36.0,8108640,
,,,,$36.0,8108640,
,,,,$36.0,8134649,
,,,,$36.0,8134649,
,,,,$36.0,7128115,
,,,,$36.0,8134649,
,,,,$36.0,8108651,
,,,,$36.0,8108651,
,,,,$36.0,8108651,
,,,,$36.0,8108651,
,,,,$36.0,8108651,
,,,,$36.0,8108651,
,,,,$36.0,8108649,
,,,,$36.0,8108649,
,,,,$36.0,8108649,
,,,,$36.0,8105891,
,,,,$36.0,8135711,
,,,,$36.0,8105969,
,,,,$36.0,8127342,
,,,,$36.0,8127342,
,,,,$36.0,8127342,
,,,,$36.0,8127342,
,,,,$36.0,8127342,
,,,,$36.0,8127342,
,,,,$36.0,8127342,
,,,,$36.0,8127342,

~$5,,~$6,,~$39,,
$4.5,7817491,$5.99,7852570,$39.0,8452250,
$4.99,8101781,$5.99,7852570,$39.0,8452620,
$4.99,8153748,$5.99,7865750,$39.0,8452645,
$4.99,8232058,$5.99,8153749,$39.0,8452617,
$5.0,8166944,$5.99,8231518,$39.0,8452651,
,,$5.99,8231518,$39.0,8465911,
,,$5.99,8232124,$39.0,8466752,
,,$6.0,8427445,$39.0,8465911,
,,,,$39.0,8466748,
,,,,$39.0,8465903,
,,,,$39.0,8466674,
,,,,$39.0,8466752,
,,,,$39.0,8466816,
,,,,$39.0,8466752,
,,,,$39.0,8469259,
,,,,$39.0,8466752,
,,,,$39.0,8469546,
,,,,$39.0,8473423,
,,,,$39.0,8473423,
,,,,$39.0,8487976,
,,,,$39.0,8493005,
,,,,$39.0,8493005,
,,,,$39.0,8493005,
,,,,$39.0,8496486,
,,,,$39.0,8493005,
,,,,$39.0,8380262,
,,,,$39.0,8380263,
,,,,$39.0,8379365,
,,,,$39.0,8380264,
,,,,$39.0,8380349,
,,,,$39.0,8227764,
,,,,$39.0,8383388,
,,,,$39.0,8383388,
,,,,$39.0,8383387,
,,,,$39.0,8386155,
,,,,$39.0,8386172,
,,,,$39.0,7767969,
,,,,$39.0,7767971,
,,,,$39.0,7767971,
,,,,$39.0,8386245,
,,,,$39.0,8386632,
,,,,$39.0,8386637,
,,,,$39.0,8386639,
,,,,$39.0,8386639,
,,,,$39.0,8386637,
,,,,$39.0,8386670,
,,,,$39.0,8387388,
,,,,$39.0,8387424,
,,,,$39.0,8387468,
,,,,$39.0,8387480,
,,,,$39.0,8387425,
,,,,$39.0,8387425,
,,,,$39.0,8387456,
,,,,$39.0,8387456,
,,,,$39.0,8355272,
,,,,$39.0,8387976,
,,,,$39.0,8355272,
,,,,$39.0,8355272,
,,,,$39.0,8355272,
,,,,$39.0,8388511,
,,,,$39.0,8388511,
,,,,$39.0,8388868,
,,,,$39.0,8395630,
,,,,$39.0,8395455,
,,,,$39.0,8395455,
,,,,$39.0,8395460,
,,,,$39.0,8395460,
